ID.interactor.A,RefSeq.interactor.A,UniprotKB.interactor.A,ID.interactor.B,RefSeq.interactor.B,UniprotKB.interactor.B
DIP-671N,NP_009918,P25605,DIP-1104N,NP_013826,P07342
DIP-25N,NP_012903,P09798,DIP-25N,NP_012903,P09798
DIP-551N,NP_012231,P07278,DIP-548N,NP_012371,P06244
DIP-18N,NP_010765,P06782,DIP-780N,NP_014142,P38717
DIP-48N,NP_012229,P15790,DIP-262N,NP_014682,P38930
DIP-13N,NP_010177,P07269,DIP-142N,NP_013025,P22035
DIP-962N,NP_014432,P50278,DIP-760N,NP_012717,P33418
DIP-696N,NP_009670,P14922,DIP-665N,NP_011480,P27705
DIP-376N,NP_010457,P05453,DIP-376N,NP_010457,P05453
DIP-800N,NP_009701,P12385,DIP-376N,NP_010457,P05453
DIP-1102N,NP_010432,P19262,DIP-41N,NP_116635,P09624
DIP-1102N,NP_010432,P19262,DIP-365N,NP_012141,P20967
DIP-823N,NP_010359,P31688,DIP-744N,NP_009684,Q00764
DIP-744N,NP_009684,Q00764,DIP-891N,NP_013988,P38426
DIP-744N,NP_009684,Q00764,DIP-753N,NP_013608,P38427
DIP-823N,NP_010359,P31688,DIP-891N,NP_013988,P38426
DIP-753N,NP_013608,P38427,DIP-823N,NP_010359,P31688
DIP-970N,NP_014227,P53886,DIP-25N,NP_012903,P09798
DIP-352N,NP_116694,P14724,DIP-25N,NP_012903,P09798
DIP-970N,NP_014227,P53886,DIP-970N,NP_014227,P53886
DIP-25N,NP_012903,P09798,DIP-589N,NP_012036,P16522
DIP-796N,NP_009469,P38042,DIP-25N,NP_012903,P09798
DIP-589N,NP_012036,P16522,DIP-589N,NP_012036,P16522
DIP-589N,NP_012036,P16522,DIP-796N,NP_009469,P38042
DIP-542N,NP_011014,P00899,DIP-543N,NP_012711,P00937
DIP-1023N,NP_012643,P03965,DIP-1024N,NP_014947,P07258
DIP-338N,NP_009754,P13712,DIP-811N,NP_013605,Q04199
DIP-338N,NP_009754,P13712,DIP-923N,NP_015343,Q12495
DIP-923N,NP_015343,Q12495,DIP-811N,NP_013605,Q04199
DIP-839N,NP_011790,P46677,DIP-44N,NP_011075,P13393
DIP-343N,NP_009971,P23255,DIP-44N,NP_011075,P13393
DIP-813N,NP_014140,P38636,DIP-906N,NP_010556,P38995
DIP-44N,NP_011075,P13393,DIP-964N,NP_014359,P46678
DIP-964N,NP_014359,P46678,DIP-191N,NP_011762,P29056
DIP-44N,NP_011075,P13393,DIP-191N,NP_011762,P29056
DIP-595N,NP_013547,P06701,DIP-417N,NP_009564,P61830
DIP-595N,NP_013547,P06701,DIP-418N,NP_009563,P02309
DIP-33N,NP_010513,P11978,DIP-417N,NP_009564,P61830
DIP-418N,NP_009563,P02309,DIP-33N,NP_010513,P11978
DIP-595N,NP_013547,P06701,DIP-33N,NP_010513,P11978
DIP-595N,NP_013547,P06701,DIP-851N,NP_014183,P11938
DIP-416N,NP_010510,P02293,DIP-595N,NP_013547,P06701
DIP-595N,NP_013547,P06701,DIP-595N,NP_013547,P06701
DIP-851N,NP_014183,P11938,DIP-33N,NP_010513,P11978
DIP-33N,NP_010513,P11978,DIP-596N,NP_010242,P06700
DIP-834N,NP_010365,P38959,DIP-1002N,NP_010206,Q07468
DIP-510N,NP_012731,P25296,DIP-662N,NP_013537,P23287
DIP-833N,NP_013655,P14747,DIP-510N,NP_012731,P25296
DIP-549N,NP_015121,P06245,DIP-551N,NP_012231,P07278
DIP-550N,NP_012755,P05986,DIP-551N,NP_012231,P07278
DIP-847N,NP_011036,P25302,DIP-598N,NP_013283,P09959
DIP-847N,NP_011036,P25302,DIP-658N,NP_015444,P24869
DIP-157N,NP_015120,P29295,DIP-598N,NP_013283,P09959
DIP-720N,NP_014245,P23292,DIP-719N,NP_012003,P23291
DIP-262N,NP_014682,P38930,DIP-262N,NP_014682,P38930
DIP-938N,NP_014273,P53540,DIP-821N,NP_013313,P53378
DIP-826N,NP_012042,P38863,DIP-821N,NP_013313,P53378
DIP-938N,NP_014273,P53540,DIP-826N,NP_012042,P38863
DIP-938N,NP_014273,P53540,DIP-702N,NP_010643,P32380
DIP-826N,NP_012042,P38863,DIP-702N,NP_010643,P32380
DIP-1038N,NP_014704,P19454,DIP-262N,NP_014682,P38930
DIP-742N,NP_012739,P07149,DIP-960N,NP_015093,P19097
DIP-824N,NP_010370,P33304,DIP-853N,NP_011975,P32468
DIP-943N,NP_010504,Q04921,DIP-943N,NP_010504,Q04921
DIP-689N,NP_012332,P32524,DIP-1001N,NP_010241,Q07350
DIP-651N,NP_010254,P19736,DIP-1001N,NP_010241,Q07350
DIP-651N,NP_010254,P19736,DIP-651N,NP_010254,P19736
DIP-689N,NP_012332,P32524,DIP-651N,NP_010254,P19736
DIP-48N,NP_012229,P15790,DIP-282N,NP_011496,P43639
DIP-2N,-,P12294,DIP-411N,NP_012579,P12398
DIP-1038N,NP_014704,P19454,DIP-282N,NP_011496,P43639
DIP-512N,NP_010007,P16649,DIP-696N,NP_009670,P14922
DIP-796N,NP_009469,P38042,DIP-796N,NP_009469,P38042
DIP-419N,NP_010511,P04911,DIP-595N,NP_013547,P06701
DIP-282N,NP_011496,P43639,DIP-282N,NP_011496,P43639
DIP-669N,NP_013279,P14306,DIP-913N,NP_012474,P40368
DIP-940N,NP_013544,P36517,DIP-663N,NP_012203,Q00916
DIP-776N,NP_014448,P38999,DIP-903N,NP_012556,P47093
DIP-961N,NP_015220,Q02875,DIP-991N,NP_013217,Q12186
DIP-791N,NP_009449,P38167,DIP-689N,NP_012332,P32524
DIP-816N,NP_012274,P40567,DIP-697N,NP_009672,P31244
DIP-895N,NP_014660,P32606,DIP-816N,NP_012274,P40567
DIP-816N,NP_012274,P40567,DIP-804N,NP_012067,P38883
DIP-848N,NP_011037,P40070,DIP-903N,NP_012556,P47093
DIP-651N,NP_010254,P19736,DIP-1012N,NP_010709,Q04052
DIP-816N,NP_012274,P40567,DIP-142N,NP_013025,P22035
DIP-844N,NP_010949,P40020,DIP-871N,NP_010481,P42073
DIP-18N,NP_010765,P06782,DIP-777N,NP_010710,P32578
DIP-97N,NP_013341,P22543,DIP-814N,NP_009655,P22219
DIP-33N,NP_010513,P11978,DIP-33N,NP_010513,P11978
DIP-746N,NP_013090,P33750,DIP-698N,NP_010270,P15646
DIP-982N,NP_011399,P26309,DIP-293N,NP_011429,P40957
DIP-815N,NP_012504,P40958,DIP-982N,NP_011399,P26309
DIP-954N,NP_014855,P18851,DIP-314N,NP_012619,P18852
DIP-954N,NP_014855,P18851,DIP-15N,NP_011868,P08539
DIP-725N,NP_010692,P34087,DIP-55N,NP_012395,P20433
DIP-747N,NP_013396,P32835,DIP-838N,NP_010285,P41920
DIP-81N,NP_014741,P20676,DIP-728N,NP_014210,Q02821
DIP-859N,NP_013439,P32499,DIP-728N,NP_014210,Q02821
DIP-86N,NP_014533,P13902,DIP-680N,NP_010408,P26798
DIP-75N,NP_015467,P17119,DIP-192N,NP_013925,Q01649
DIP-911N,NP_116692,P07270,DIP-13N,NP_010177,P07269
DIP-702N,NP_010643,P32380,DIP-536N,NP_009667,P06787
DIP-223N,NP_009677,P32605,DIP-905N,NP_013324,P39520
DIP-909N,NP_013554,Q06205,DIP-223N,NP_009677,P32605
DIP-223N,NP_009677,P32605,DIP-972N,NP_014172,P53863
DIP-223N,NP_009677,P32605,DIP-557N,NP_013696,P26570
DIP-557N,NP_013696,P26570,DIP-663N,NP_012203,Q00916
DIP-663N,NP_012203,Q00916,DIP-870N,NP_010395,O13329
DIP-868N,NP_009352,P39723,DIP-663N,NP_012203,Q00916
DIP-672N,NP_010025,P25607,DIP-663N,NP_012203,Q00916
DIP-912N,NP_116697,P43611,DIP-663N,NP_012203,Q00916
