#DEG_AC	#Gene_Name	#Gene_Ref	#COG	#Class	#Function	#Organism	#Refseq	#Condition
DEG20010001	TFC3	GI:6319317	-	-	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010002	EFB1	GI:6319315	-	-	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010003	MAK16	GI:6319294	-	-	Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010004	PRP45	GI:6319287	-	-	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010005	POP5	GI:6319286	-	-	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010006	MTW1	GI:6319283	-	-	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010007	CDC19	GI:6319279	-	-	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010008	CDC24	GI:6319276	-	-	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010009	PTA1	GI:6319273	-	-	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010010	RFA1	GI:6319321	-	-	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination	Saccharomyces cerevisiae	NC_001133	Rich medium
