UniProtKB	DIP	Entry.name	Protein.names	Gene.names	Length	Gene.names.ORF	Gene.names.ordered.locus	Gene.names.synonym	Gene.names.primary	Cross.ref.RefSeq	Cross.ref.EnsembleFungi	Cross.ref.GeneID	Cross.ref.CYGD	Cross.ref.SGD	Probe.Set.IDs
P25605	DIP-671N	ILV6_YEAST	Acetolactate synthase small subunit, mitochondrial (Acetohydroxy-acid synthase small subunit) (AHAS) (ALS)	ILV6 YCL009C YCL9C	309	YCL9C	YCL009C	---	ILV6	NP_009918.1;	YCL009C;	850348;	YCL009c;	S000000515;	6871_at
P07342	DIP-1104N	ILVB_YEAST	Acetolactate synthase catalytic subunit, mitochondrial (EC 2.2.1.6) (Acetohydroxy-acid synthase catalytic subunit) (AHAS) (ALS)	ILV2 SMR1 YMR108W YM9718.07	687	YM9718.07	YMR108W	SMR1	ILV2	NP_013826.1;	YMR108W;	855135;	YMR108w;	S000004714;	9550_at
P07278	DIP-551N	KAPR_YEAST	cAMP-dependent protein kinase regulatory subunit (cAPK regulatory subunit) (Bypass of cyclase mutations protein 1) (Protein kinase A regulatory subunit) (PKA regulatory subunit)	BCY1 REG1 SRA1 YIL033C	416	---	YIL033C	REG1 SRA1	BCY1	NP_012231.1;	YIL033C;	854778;	---	S000001295;	4138_at
P06244	DIP-548N	KAPA_YEAST	cAMP-dependent protein kinase type 1 (PKA 1) (EC 2.7.11.11) (CDC25-suppressing protein kinase) (PK-25)	TPK1 PKA1 SRA3 YJL164C J0541	397	J0541	YJL164C	PKA1 SRA3	TPK1	NP_012371.2;	YJL164C;	853275;	---	S000003700;	11174_at
P06782	DIP-18N	SNF1_YEAST	Carbon catabolite-derepressing protein kinase (EC 2.7.11.1)	SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20	633	D8035.20	YDR477W	CAT1 CCR1 GLC2 PAS14	SNF1	NP_010765.3;	YDR477W;	852088;	YDR477w;	S000002885;	5991_at
P38717	DIP-780N	SIP3_YEAST	Protein SIP3	SIP3 YNL257C N0844	1229	N0844	YNL257C	---	SIP3	NP_014142.1;	YNL257C;	855464;	YNL257c;	S000005201;	9137_at
P15790	DIP-48N	CSK21_YEAST	Casein kinase II subunit alpha (CK II subunit alpha) (EC 2.7.11.1)	CKA1 YIL035C	372	---	YIL035C	---	CKA1	NP_012229.1;	YIL035C;	854776;	YIL035c;	S000001297;	4136_at
P38930	DIP-262N	CSK2C_YEAST	Casein kinase II subunit beta' (CK II beta')	CKB2 YOR039W OR26.32	258	OR26.32	YOR039W	---	CKB2	NP_014682.1;	YOR039W;	854204;	YOR039w;	S000005565;	8512_at
P07269	DIP-13N	PHO2_YEAST	Regulatory protein PHO2 (General regulatory factor 10)	PHO2 BAS2 GRF10 YDL106C D2350	559	D2350	YDL106C	BAS2 GRF10	PHO2	NP_010177.1;	YDL106C;	851452;	YDL106c;	S000002264;	6580_at
P22035	DIP-142N	BAS1_YEAST	Myb-like DNA-binding protein BAS1	BAS1 YKR099W	811	---	YKR099W	---	BAS1	NP_013025.3;	YKR099W;	853974;	YKR099w;	S000001807;	10480_at
